Any,Indicador,Nom_Equipament,Valor,Notes_Dades,Notes_Equipament,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,Tipus_Us,Tipus_Equipament,Ambit,Latitud,Longitud
2024,Espectacles,Altres espais escènics,17,,,Di,rsos districtes,,,Titularitat privada,Espais de representacions escèniques,Sales d'arts escèniques,Arts escèniques,,
2024,Funcions,Altres espais escènics,58,,,Di,rsos districtes,,,Titularitat privada,Espais de representacions escèniques,Sales d'arts escèniques,Arts escèniques,,
2024,Aforament,Altres espais escènics,13989,,,Di,rsos districtes,,,Titularitat privada,Espais de representacions escèniques,Sales d'arts escèniques,Arts escèniques,,
2024,Entrades_Venudes,Altres espais escènics,10993,,,Di,rsos districtes,,,Titularitat privada,Espais de representacions escèniques,Sales d'arts escèniques,Arts escèniques,,
2024,Espectadors,Altres espais escènics,11465,,,Di,rsos districtes,,,Titularitat privada,Espais de representacions escèniques,Sales d'arts escèniques,Arts escèniques,,
2024,Espectacles,Antic Teatre,40,,,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",Titularitat privada,Sales d'arts escèniques de - 200 butaques,Sales d'arts escèniques,Arts escèniques,41.387137228,2.175892194
2024,Funcions,Antic Teatre,164,,,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",Titularitat privada,Sales d'arts escèniques de - 200 butaques,Sales d'arts escèniques,Arts escèniques,41.387137228,2.175892194
2024,Aforament,Antic Teatre,11603,,,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",Titularitat privada,Sales d'arts escèniques de - 200 butaques,Sales d'arts escèniques,Arts escèniques,41.387137228,2.175892194
2024,Entrades_Venudes,Antic Teatre,5727,,,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",Titularitat privada,Sales d'arts escèniques de - 200 butaques,Sales d'arts escèniques,Arts escèniques,41.387137228,2.175892194
2024,Espectadors,Antic Teatre,6993,,,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",Titularitat privada,Sales d'arts escèniques de - 200 butaques,Sales d'arts escèniques,Arts escèniques,41.387137228,2.175892194
