Any,Indicador,Nom_Equipament,Valor,Notes_Dades,Notes_Equipament,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,Tipus_Us,Tipus_Equipament,Ambit,Latitud,Longitud
2024,Num_Exposicions_Temporals,Arxiu Fotogràfic de Barcelona,2,,,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",Ajuntament de Barcelona,Centres d'exposicions,Arxius i biblioteques patrimonials,Història i memòria,41.38687264,2.181806284
2024,Visitants,Arxiu Fotogràfic de Barcelona,8946,,,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",Ajuntament de Barcelona,Centres d'exposicions,Arxius i biblioteques patrimonials,Història i memòria,41.38687264,2.181806284
2024,Visites_Exposicions_Temporals,Arxiu Fotogràfic de Barcelona,8946,,,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",Ajuntament de Barcelona,Centres d'exposicions,Arxius i biblioteques patrimonials,Història i memòria,41.38687264,2.181806284
2024,Visitants,Basílica de la Sagrada Família,4961306,,,02,Eixample,06,la Sagrada Família,Titularitat privada,Centres patrimonials,Espais d'interès patrimonial,Història i memòria,41.403188985,2.174826626
2024,Visites_Exposicions_Temporals,CaixaForum,135718,,,03,Sants-Montjuïc,14,la Font de la Guatlla,Titularitat privada,Centres d'exposicions,Centres d'exposicions,Arts visuals,41.371294526,2.149575441
2024,Visitants,CaixaForum,508796,,,03,Sants-Montjuïc,14,la Font de la Guatlla,Titularitat privada,Centres d'exposicions,Centres d'exposicions,Arts visuals,41.371294526,2.149575441
2024,Num_Exposicions_Temporals,CaixaForum,7,,,03,Sants-Montjuïc,14,la Font de la Guatlla,Titularitat privada,Centres d'exposicions,Centres d'exposicions,Arts visuals,41.371294526,2.149575441
2024,Num_Exposicions_Temporals,Can Framis. Fundació Vila Casas,5,,,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Titularitat privada,Centres patrimonials,Museus i col·leccions,Arts visuals,41.402912812,2.194947848
2024,Visitants,Can Framis. Fundació Vila Casas,18121,,,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Titularitat privada,Centres patrimonials,Museus i col·leccions,Arts visuals,41.402912812,2.194947848
2024,Visites_Exposicions_Temporals,Can Framis. Fundació Vila Casas,20905,,,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Titularitat privada,Centres patrimonials,Museus i col·leccions,Arts visuals,41.402912812,2.194947848
2024,Visitants,Casa Amatller,47177,,,02,Eixample,07,la Dreta de l'Eixample,Titularitat privada,Centres patrimonials,Espais d'interès patrimonial,Història i memòria,41.3913381,2.16468108
2024,Visitants,Casa Batlló,1908052,,,02,Eixample,07,la Dreta de l'Eixample,Titularitat privada,Centres patrimonials,Espais d'interès patrimonial,Història i memòria,41.3916967,2.1649608
