Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2024,Música,Titularitat privada,Festivals,25,Festival del Mil·lenni,01/01/2024,30/12/2024,57000,,Diversos espais de la ciutat,Concert Studio,
2024,Audiovisuals,Titularitat privada,Festivals,32,Mostra Internacional de Films de Dones de Barcelona,01/01/2024,31/12/2024,6651,4690,Diversos espais de la ciutat,Drac Màgic,
2024,Música,Titularitat privada,Festivals,37,Festival Folk Internacional Tradicionàrius,12/01/2024,22/03/2024,11583,,Diversos espais de la ciutat,Assoc. Cultural per la Tradició Musical TRAM,
2024,Arts escèniques,Ajuntament de Barcelona,Festivals,21,Fica't al SAT!,12/01/2024,10/05/2024,1669,,SAT! Sant Andreu Teatre,N54 Produccions,
2024,Audiovisuals,Titularitat privada,Festivals,13,La mida no importa. Festival Internacional de Curtmetratges al Raval,25/01/2024,27/01/2024,510,,"L'Auditori Meier, MACBA i Ateneu del Raval",Ass. SLOWCUrT i Casal del barri del Raval,
2024,Arts escèniques,Titularitat privada,Festivals,7,Festival Oui! de Théâtre en français,26/01/2024,11/02/2024,,,,Equinox,
2024,Música,Titularitat privada,Festivals,35,Guitar Bcn,26/01/2024,14/10/2024,60000,,Diversos espais de la ciutat,The Project Music Company,
2024,Música,Titularitat privada,Festivals,29,BarnaSants,27/01/2024,17/05/2024,6172,4198,Diversos espais de la ciutat,Assoc. República de la Cultura,
2024,Audiovisuals,Titularitat privada,Fires,20,ISE. Integrated Systems Europe,30/01/2024,02/02/2024,75191,,Diversos espais de la ciutat,Integrated Systems Events,
2024,Multidisciplinaris i altres,Mixta,Festivals,10,Cìtric,02/02/2024,16/03/2024,,,L'Ateneu,Ateneu Popular 9 Barris,
2024,Música,Altres administracions públiques,Festivals,9,Els vespres d'hivern,02/02/2024,23/02/2024,2100,,Edifici Històric de la Universitat de Barcelona,Universitat de Barcelona,
2024,Multidisciplinaris i altres,Ajuntament de Barcelona,Festivals,13,Llum BCN,02/02/2024,04/02/2024,240000,,Barri del Poble Nou,Institut de Cultura. Ajuntament de Barcelona,
2024,Lletres,Ajuntament de Barcelona,Festivals,19,BCNegra. Trobada de Novel·la Negra de Barcelona,05/02/2024,11/02/2024,8667,,Diversos espais de la ciutat,Institut de Cultura. Ajuntament de Barcelona,
2024,Música,Titularitat privada,Festivals,29,Minifestival de Música i Cultura Independent de Barcelona,07/02/2024,27/04/2024,475,50,Centre Cultural Albareda i Cinema Maldá,Assoc. Minifestival de Música Independent,
2024,Multidisciplinaris i altres,Ajuntament de Barcelona,Festivals,15,Barcelona Districte Cultural,08/02/2024,27/04/2024,23826,,Xarxa de centres cívics,Institut de Cultura. Ajuntament de Barcelona,
2024,Música,Consorci o fundació amb presència administracions públiques,Festivals,,Festival Emergents Barcelona,15/02/2024,18/02/2024,5852,,L'Auditori de Barcelona,Consorci de L'Auditori i l'Orquestra,
2024,Arts escèniques,Consorci o fundació amb presència administracions públiques,Festivals,12,Festival Sâlmon d'Arts Vives de Barcelona,15/02/2024,25/02/2024,,,,Salmon associació cultural,
2024,Lletres,Titularitat privada,Festivals,14,Flic. Festival de literatures i arts infantil i juvenil,16/02/2024,17/03/2024,5000,3000,Disseny Hub Barcelona i Fabra i Coats Fàbrica de creació,Tantàgora,
2024,Audiovisuals,Ajuntament de Barcelona,Festivals,15,BCN Sports Film,17/02/2024,25/02/2024,2020,775,Diversos espais de la ciutat,Fund. Barcelona Olímpica,
