Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,Data_Referencia,_id
1,Ciutat Vella,1,el Raval,1,1001,1309,2024-01-01T00:00:00,1
1,Ciutat Vella,1,el Raval,1,1002,1282,2024-01-01T00:00:00,2
1,Ciutat Vella,1,el Raval,2,1003,3500,2024-01-01T00:00:00,3
1,Ciutat Vella,1,el Raval,2,1004,2999,2024-01-01T00:00:00,4
1,Ciutat Vella,1,el Raval,3,1005,2326,2024-01-01T00:00:00,5
1,Ciutat Vella,1,el Raval,3,1006,1617,2024-01-01T00:00:00,6
1,Ciutat Vella,1,el Raval,3,1007,2003,2024-01-01T00:00:00,7
1,Ciutat Vella,1,el Raval,4,1008,3203,2024-01-01T00:00:00,8
1,Ciutat Vella,1,el Raval,4,1009,2117,2024-01-01T00:00:00,9
1,Ciutat Vella,1,el Raval,4,1010,2449,2024-01-01T00:00:00,10
1,Ciutat Vella,1,el Raval,5,1011,3091,2024-01-01T00:00:00,11
1,Ciutat Vella,1,el Raval,5,1012,1914,2024-01-01T00:00:00,12
1,Ciutat Vella,1,el Raval,5,1013,1471,2024-01-01T00:00:00,13
1,Ciutat Vella,1,el Raval,6,1014,1786,2024-01-01T00:00:00,14
1,Ciutat Vella,1,el Raval,6,1015,2334,2024-01-01T00:00:00,15
1,Ciutat Vella,1,el Raval,6,1016,2089,2024-01-01T00:00:00,16
1,Ciutat Vella,1,el Raval,6,1017,2523,2024-01-01T00:00:00,17
1,Ciutat Vella,1,el Raval,7,1018,1550,2024-01-01T00:00:00,18
1,Ciutat Vella,1,el Raval,7,1019,2827,2024-01-01T00:00:00,19
1,Ciutat Vella,1,el Raval,7,1020,2325,2024-01-01T00:00:00,20
1,Ciutat Vella,1,el Raval,8,1021,2219,2024-01-01T00:00:00,21
1,Ciutat Vella,2,el Barri Gòtic,9,1022,1749,2024-01-01T00:00:00,22
1,Ciutat Vella,2,el Barri Gòtic,9,1023,2040,2024-01-01T00:00:00,23
1,Ciutat Vella,2,el Barri Gòtic,10,1025,1377,2024-01-01T00:00:00,24
