Tabla 1
Per tipus de pràctica;;;;;;;;;;% / Total població
;;;;;;;;;;
Pràctiques culturals;;2024;2023;2022;2021;2020;2019;2018;2017;2016
;;;;;;;;;;
Lectura de llibres;;62,5;64,1;63,2;65,3;64,3;64,7;58,7;60,0;63,6
;;;;;;;;;;
Lectura de diaris ;;43,5;48,7;47,9;53,8;55,3;55,9;51,6;49,5;48,5
;;;;;;;;;;
Lectura de revistes;;50,1;54,0;50,9;57,2;54,0;60,6;58,0;56,1;61,9
;;;;;;;;;;
Audició de música;;85,1;85,9;81,4;85,1;83,5;82,8;77,7;77,7;77,2
;;;;;;;;;;
Assistència a concerts;;45,4;44,7;42,5;24,4;26,0;45,7;45,6;40,3;39,2
;;;;;;;;;;
Assistència a espectacles ;;32,1;35,8;30,3;21,6;20,3;28,3;29,7;26,8;29,5
;;;;;;;;;;
Assistència al cinema ;;43,5;44,6;40,3;32,6;15,8;51,9;46,4;45,4;50,0
;;;;;;;;;;
Visites a exposicions ;;52,0;55,4;49,6;40,1;34,3;52,9;50,4;48,9;47,1
;;;;;;;;;;
Escoltar la ràdio;;59,0;64,5;64,4;66,1;63,6;67,4;66,7;66,3;66,4
;;;;;;;;;;
Televisió i continguts audiovisuals ;;96,4;98,5;98,2;98,4;97,3;98,3;98,3;98,1;-
;;;;;;;;;;
Ús d'Internet;;87,3;88,7;87,1;87,0;87,7;89,2;86,5;84,3;83,1
;;;;;;;;;;
Jugar a videojocs;;42,7;-;43,6;46,8;50,8;47,0;39,6;34,7;29,2
