Tabla 1
Per edat;;2024;;;;;
Pràctiques culturals;;14-24 anys;25-34 anys;35-44 anys;45-54 anys;55-64 anys;65 anys i més
;;;;;;;
Lectura de llibres;;65,9;65,2;62,6;63,4;63,0;57,5
;;;;;;;
Lectura de diaris ;;21,1;36,9;47,5;51,9;52,6;45,4
;;;;;;;
Lectura de revistes;;43,3;43,4;52,3;57,0;57,6;46,0
;;;;;;;
Audició de música;;94,3;91,5;88,9;88,1;82,8;71,4
;;;;;;;
Assistència a concerts;;53,2;54,1;51,1;53,6;39,3;28,1
;;;;;;;
Assistència a espectacles ;;23,6;28,5;33,8;36,8;37,2;31,1
;;;;;;;
Assistència al cinema ;;60,9;51,5;46,0;43,2;38,1;29,6
;;;;;;;
Visites a exposicions ;;56,4;52,5;54,3;55,6;55,2;42,2
;;;;;;;
Escoltar la ràdio;;43,1;50,5;62,4;69,3;68,3;56,7
;;;;;;;
Televisió i continguts audiovisuals;;95,1;94,2;95,2;97,0;97,6;98,2
;;;;;;;
Ús d'Internet;;97,9;98,0;96,5;94,0;88,1;61,0
;;;;;;;
Jugar a videojocs;;71,6;53,2;42,8;40,2;36,0;25,0
