Tabla 1
Per estudis;;2024;;
Pràctiques culturals;;Primaris;Secundaris;Superiors
;;;;
Lectura de llibres;;42,0;62,3;80,1
;;;;
Lectura de diaris ;;25,1;41,4;60,8
;;;;
Lectura de revistes;;38,1;51,1;58,5
;;;;
Audició de música;;75,0;87,2;91,2
;;;;
Assistència a concerts;;25,6;45,9;61,4
;;;;
Assistència a espectacles ;;18,3;29,1;47,6
;;;;
Assistència al cinema ;;29,0;43,9;55,2
;;;;
Visites a exposicions ;;30,9;50,6;71,6
;;;;
Escoltar la ràdio;;49,1;59,8;66,2
;;;;
Televisió i continguts audiovisuals;;95,8;96,5;97,5
;;;;
Ús d'Internet;;71,2;90,0;97,0
;;;;
Jugar a videojocs;;41,6;46,1;40,5
