Tabla 1
Per gènere / %;;2024;
Pràctiques culturals;;Homes;Dones
;;;
Lectura de llibres;;54,8;69,8
;;;
Lectura de diaris ;;48,5;38,8
;;;
Lectura de revistes;;51,4;48,9
; ;;
Audició de música;;85,8;84,3
;;;
Assistència a concerts;;43,2;47,4
;;;
Assistència a espectacles ;;29,0;35,1
;;;
Assistència al cinema ;;41,8;45,0
;;;
Visites a exposicions ;;50,1;53,8
;;;
Escoltar la ràdio;;61,9;56,2
;;;
Televisió i continguts audiovisuals;;96,2;96,6
;;;
Ús d'Internet;;90,2;84,4
;;;
Jugar a videojocs;;48,1;37,6
