Tabla 1
Per motiu del no consum;;2024;;;;;
Pràctiques culturals;;Manca de temps;Responsabilitats familiars;Manca d'interès;Preu;Problemes de salut;Manca d'informació
;;;;;;;
Lectura de llibres;;38,9;10,2;47,2;2,9;7,7;2,2
;;;;;;;
Audició de música;;38,5;8,8;42,5;0,3;3,8;0,5
;;;;;;;
Assistència a concerts;;31,9;16,0;34,3;23,5;7,2;5,0
;;;;;;;
Assistència a espectacles ;;33,5;13,2;36,9;15,9;5,5;10,0
;;;;;;;
Assistència al cinema ;;33,4;13,7;29,0;19,8;5,8;1,4
;;;;;;;
Visites a exposicions ;;36,8;13,1;35,7;10,7;7,0;7,1
;;;;;;;
Jugar a videojocs;;16,7;6,4;78,8;0,6;1,5;1,4
