Tabla 1
Per situació laboral;;2024;;;;;
Pràctiques culturals;;Treballa;Aturat;Estudiant;Jubilat;Treball no remunerat;Rendista
;;;;;;;
Lectura de llibres;;64,5;54,1;69,9;58,2;58,5;72,4
;;;;;;;
Lectura de diaris ;;48,8;29,9;19,9;46,4;28,8;47,5
;;;;;;;
Lectura de revistes;;53,3;43,1;44,1;47,4;44,3;59,8
;;;;;;;
Audició de música;;89,7;82,1;94,7;71,6;83,2;71,5
;;;;;;;
Assistència a concerts;;53,1;34,1;51,1;30,0;26,3;21,6
;;;;;;;
Assistència a espectacles ;;35,4;24,9;22,8;33,0;22,6;2,9
;;;;;;;
Assistència al cinema ;;48,1;36,1;58,4;30,0;34,0;24,7
;;;;;;;
Visites a exposicions ;;57,2;41,4;58,2;41,4;50,4;54,3
;;;;;;;
Escoltar la ràdio;;64,9;50,9;43,1;56,5;35,2;54,7
;;;;;;;
Televisió i continguts audiovisuals;;96,2;95,6;96,8;97,7;97,6;94,4
;;;;;;;
Ús d'Internet;;95,2;93,0;97,1;62,9;76,8;72,4
;;;;;;;
Jugar a videojocs;;43,4;48,4;73,7;26,7;42,6;32,8
