Tabla 1
Per ingressos;;2024;;;;;;
Pràctiques culturals ;;Menys de 1.000 €;De 1.001 a 1.500 €;De 1.501 a 2.500 €;De 2.501 a 3.500€;De 3.501 a 4.500 € ;De 4.501 a 6.000 € ;Més de 6.000€ 
;;;;;;;;
Lectura de llibres;;51,5;51,7;63,9;65,3;74,2;74,6;76,1
;;;;;;;;
Lectura de diaris ;;30,6;32,3;44,7;48,7;56,4;62,4;68,8
;;;;;;;;
Lectura de revistes;;39,3;40,4;52,4;53,6;60,4;61,5;57,1
;;;;;;;;
Audició de música;;78,6;78,9;84,9;91,1;92,3;92,8;94,0
;;;;;;;;
Assistència a concerts;;29,6;30,5;44,8;56,8;60,8;61,2;60,8
;;;;;;;;
Assistència a espectacles ;;16,3;20,9;33,2;39,5;44,8;43,1;41,8
;;;;;;;;
Assistència al cinema ;;27,7;32,3;46,9;47,5;55,6;57,3;56,5
;;;;;;;;
Visites a exposicions ;;32,6;38,7;52,2;60,0;66,2;73,7;70,8
;;;;;;;;
Escoltar la ràdio;;46,7;49,8;60,1;65,3;70,9;75,1;70,3
;;;;;;;;
Televisió i continguts audiovisuals;;92,7;96,5;97,8;97,1;99,0;99,3;98,8
;;;;;;;;
Ús d'Internet;;78,1;81,2;87,9;94,5;97,0;96,5;97,1
;;;;;;;;
Jugar a videojocs;;37,0;41,0;42,5;48,6;50,0;52,4;40,2
